attempt,serialization,deserialization,sending,receiving
1,5.8939948081970215,5.538166522979736,0.9241435527801514,1.3468434810638428
2,5.799009084701538,5.464522123336792,0.948422908782959,1.0847785472869873
3,5.7687342166900635,5.527250051498413,0.920957088470459,1.1072781085968018
4,5.779460430145264,5.322599172592163,0.9945688247680664,1.0044944286346436
5,5.808216094970703,5.353120565414429,0.9359433650970459,1.4805691242218018
6,5.682215929031372,5.456618070602417,0.972785234451294,1.330402135848999
7,5.733558893203735,5.510450839996338,1.0356037616729736,1.0681817531585693
8,5.759304523468018,5.633557319641113,1.0761663913726807,1.300912857055664
9,5.827518701553345,5.500823259353638,1.0249881744384766,1.1443686485290527
10,5.789239406585693,5.443384170532227,1.0033071041107178,1.0424013137817383
