attempt,serialization,deserialization,sending,receiving
1,0.014505863189697266,0.14217329025268555,5.29298210144043,2.0471975803375244
2,0.013521671295166016,0.1471576690673828,5.246675968170166,2.0562803745269775
3,0.013507843017578125,0.11611676216125488,5.235109567642212,2.0531556606292725
4,0.012509584426879883,0.1506824493408203,5.246464252471924,2.055678129196167
5,0.013498544692993164,0.15015959739685059,5.232628345489502,2.0597009658813477
6,0.012516021728515625,0.15669775009155273,5.2612690925598145,2.063185214996338
7,0.013016462326049805,0.11706280708312988,5.268028736114502,2.0653533935546875
8,0.014017343521118164,0.15520954132080078,5.251184701919556,2.0640573501586914
9,0.013511419296264648,0.14869999885559082,5.28463888168335,2.064544439315796
10,0.014008283615112305,0.11766767501831055,5.247655153274536,2.066159725189209
